route_id,service_id,trip_id,direction_id,trip_headsign,shape_id
WES-RAI-1830,S87792_358,3272545,0,Perth Stn,87792
WES-RAI-1830,S87792_358,3272546,0,Perth Stn,87792
WES-RAI-1830,S87792_358,3272547,0,Perth Stn,87792
WES-RAI-1830,S87792_358,3272548,0,Perth Stn,87792
WES-RAI-1830,S87792_358,3272549,0,Perth Stn,87792
WES-RAI-1830,S87792_358,3272550,0,Perth Stn,87792
WES-RAI-1830,S87792_363,3272588,0,Perth Stn,87792
WES-RAI-1830,S87792_363,3272589,0,Perth Stn,87792
WES-RAI-1830,S87792_363,3272590,0,Perth Stn,87792
WES-RAI-1830,S87793_363,3272607,1,Armadale Stn,87793
WES-RAI-1830,S87793_363,3272608,1,Armadale Stn,87793
WES-RAI-1830,S87793_358,3272609,1,Armadale Stn,87793
WES-RAI-1830,S87793_358,3272610,1,Armadale Stn,87793
WES-RAI-1830,S87793_358,3272611,1,Armadale Stn,87793
WES-RAI-1830,S87793_358,3272612,1,Armadale Stn,87793
WES-RAI-1830,S87793_358,3272613,1,Armadale Stn,87793
WES-RAI-1830,S87793_358,3272614,1,Armadale Stn,87793
WES-RAI-1830,S87793_358,3272615,1,Armadale Stn,87793
WES-RAI-1830,S87793_358,3272616,1,Armadale Stn,87793
WES-RAI-1830,S87793_358,3272617,1,Armadale Stn,87793
WES-RAI-1830,S87793_358,3272618,1,Armadale Stn,87793
WES-RAI-1830,S87793_358,3272619,1,Armadale Stn,87793
WES-RAI-1830,S87793_358,3272620,1,Armadale Stn,87793
TRA-TRA-145,343,3279601,1,East Perth,87835
TRA-TRA-145,344,3279602,1,Kalgoorlie,87836
TRA-TRA-145,345,3279603,1,East Perth,87837
TRA-TRA-145,346,3279604,1,Kalgoorlie,87838
TRA-TRA-145,347,3279605,1,East Perth,87839
TRA-TRA-145,349,3279607,1,East Perth,87841
TRA-TRA-145,351,3279609,1,East Perth,87843
TRA-TRA-2160,205,3467118,1,Pemberton,89901
SWA-CAN-1567,S90312_32,3493828,1,Thornlie Stn,90312
SWA-CAN-1567,S90312_32,3493829,1,Thornlie Stn,90312
SWA-CAN-1567,S90312_32,3493830,1,Thornlie Stn,90312
SWA-CAN-1567,S90313_32,3493831,0,Thornlie,90313
SWA-CAN-1567,S90313_32,3493832,0,Thornlie,90313
TRA-TRA-2176,245,3534074,1,Kalbarri,90925
WES-RAI-1830,S91011_358,3537849,1,Armadale Stn,91011
WES-RAI-1830,S91011_358,3537850,1,Armadale Stn,91011
WES-RAI-1830,S91011_358,3537851,1,Armadale Stn,91011
WES-RAI-1830,S91011_358,3537852,1,Armadale Stn,91011
WES-RAI-1830,S91011_358,3537853,1,Armadale Stn,91011
TRA-TRA-3527,338,3559059,1,Merredin,91412
TRA-TRA-145,342,3559061,1,Kalgoorlie,91413
TRA-TRA-145,348,3559062,1,Kalgoorlie,91414
TRA-TRA-145,350,3559063,1,Kalgoorlie,91415
TRA-TRA-2147,264,3566216,1,Esperance,91484
TRA-TRA-2147,265,3566217,0,East Perth,91485
STR-BBY-3701,493,3586807,0,Kennedy St / Brittain Rd,91703
STR-BBY-3701,493,3586808,0,Kennedy St / Brittain Rd,91703
TRA-TRA-2160,717,3621361,1,Augusta,91837
TRA-TRA-2148,718,3621358,1,Pemberton,91838
TRA-TRA-2148,719,3621359,1,East Perth Stn - Transwa,91839
TRA-TRA-2160,202,3596319,1,Augusta,91840
TRA-TRA-2160,203,3596320,1,Bunbury Passenger,91841
TRA-TRA-2160,204,3596321,1,Pemberton,91842
TRA-TRA-2160,206,3596322,0,East Perth,91843
TRA-TRA-2148,212,3610807,1,Pemberton,91844
TRA-TRA-2148,213,3596324,0,East Perth,91845
TRA-TRA-2148,413,3610808,1,Northcliffe,91846
TRA-TRA-2173,232,3596326,1,Katanning,91847
PAT-KAL-2725,S94964_15,3882243,0,East Cannington,94964
PAT-KAL-2725,S94966_15,3882248,0,Lesmurdie Senior High School,94966
PAT-KAL-2725,S94967_15,3882249,0,Mazenod College,94967
PAT-KAL-2725,S94967_15,3882250,0,Mazenod College,94967
PAT-KAL-2724,S94972_15,3882275,1,Kalamunda Bus Stn,94972
PAT-KAL-2724,S94973_15,3882276,1,Kalamunda Bus Stn,94973
PAT-KAL-2725,S94979_15,3882309,1,Kalamunda Bus Stn,94979
PAT-KAL-2725,S94980_15,3882310,1,Kalamunda Bus Stn,94980
PAT-KAL-2725,S94980_15,3882311,1,Kalamunda Bus Stn,94980
PAT-KAL-3970,15,3964415,0,Darling Range Sports College,96035
PAT-KAL-3970,15,3964416,0,Darling Range Sports College,96035
PAT-KAL-3970,15,3964417,0,Darling Range Sports College,96035
PAT-KAL-3970,15,3964418,0,Darling Range Sports College,96035
PAT-KAL-3970,15,3964419,1,Lesmurdie Senior High School,96036
PAT-KAL-3970,15,3964420,1,Lesmurdie Senior High School,96036
PAT-KAL-3970,15,3964421,1,Lesmurdie Senior High School,96036
